epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.402,1.53919,2.97151,1.16534,0.4695,0.28095,0.19989,0.12626,1.34841,2.11165,1.09493,0.000275563,0.000275563,0.000275563
2,738.374,1.44597,2.07822,1.14587,0.38192,0.37176,0.25379,0.16191,1.27625,1.83888,1.08673,0.000525845,0.000525845,0.000525845
3,1278.65,1.38246,1.93104,1.12596,0.39008,0.38066,0.27415,0.18142,1.24664,1.77028,1.06256,0.000748638,0.000748638,0.000748638
4,1819.52,1.38995,1.86629,1.12851,0.2788,0.34753,0.26294,0.17641,1.20448,1.74044,1.06689,0.000709299,0.000709299,0.000709299
5,2257.52,1.31889,1.81138,1.10205,0.32083,0.33932,0.30265,0.20189,1.1736,1.69369,1.04583,0.000668066,0.000668066,0.000668066
6,2688.08,1.32516,1.7838,1.09115,0.39354,0.41123,0.31376,0.21343,1.14246,1.63689,1.0321,0.000626832,0.000626832,0.000626832
7,3313.53,1.26725,1.70356,1.0795,0.41965,0.38963,0.3171,0.21235,1.12142,1.61134,1.01591,0.000585599,0.000585599,0.000585599
8,3824.92,1.24798,1.67438,1.06421,0.26643,0.43742,0.3135,0.20713,1.11644,1.64554,1.01422,0.000544365,0.000544365,0.000544365
9,4291.21,1.22833,1.62566,1.05259,0.43659,0.43637,0.34297,0.24338,1.06752,1.53861,0.99205,0.000503132,0.000503132,0.000503132
10,4775.18,1.19316,1.60614,1.04276,0.44967,0.47002,0.36069,0.25093,1.09263,1.52736,0.99833,0.000461898,0.000461898,0.000461898
11,5240.02,1.1481,1.54619,1.02268,0.32407,0.4832,0.37072,0.26606,1.06477,1.49499,0.99368,0.000420665,0.000420665,0.000420665
12,5717.36,1.10633,1.49287,1.01005,0.49067,0.46905,0.38055,0.27402,1.04688,1.44126,0.9816,0.000379431,0.000379431,0.000379431
13,6175.47,1.08694,1.40662,1.00191,0.55465,0.43734,0.42704,0.31472,1.03696,1.38693,0.97458,0.000338198,0.000338198,0.000338198
14,6590.38,1.06536,1.36161,0.99602,0.41887,0.4863,0.4567,0.34214,0.99693,1.28045,0.96393,0.000296964,0.000296964,0.000296964
15,6987.72,1.04694,1.31146,0.98896,0.409,0.47941,0.44699,0.33449,0.99861,1.30721,0.96399,0.000255731,0.000255731,0.000255731
16,7370.49,1.03606,1.27499,0.9841,0.45068,0.4397,0.46118,0.34482,0.98698,1.23574,0.96036,0.000214497,0.000214497,0.000214497
17,7747.8,1.0157,1.20568,0.97291,0.49424,0.48729,0.51345,0.38819,0.96857,1.16373,0.95474,0.000173264,0.000173264,0.000173264
18,8155.27,1.01331,1.20397,0.97674,0.50929,0.49301,0.5169,0.3891,0.95731,1.12654,0.95023,0.000132031,0.000132031,0.000132031
19,8551.05,0.98791,1.13614,0.96148,0.49975,0.53837,0.53577,0.40953,0.94568,1.09693,0.94326,9.0797e-05,9.0797e-05,9.0797e-05
20,8941.93,0.98447,1.11318,0.96365,0.4881,0.54554,0.5555,0.42483,0.9365,1.06091,0.94079,4.95635e-05,4.95635e-05,4.95635e-05
